Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
180;DR2-FSLB1-SA1;Living room;6;0.918;0.926;0.826;0.857;1.092;1.873
181;DR2-FSLB1-SA2;City park;0;0.809;0.858;0.655;0.734;1.027;1.573
182;DR2-FSLB1-SI1904;Metro;6;0.945;0.937;0.846;0.878;1.173;2.078
183;DR2-FSLB1-SI644;Cafeteria;-6;0.511;0.497;0.258;0.261;1.026;1.061
184;DR2-FSLB1-SI891;Subway station;2;0.866;0.895;0.658;0.72;1.039;1.47
185;DR2-FSLB1-SX104;Sports Field;0;0.935;0.958;0.792;0.877;1.043;2.142
186;DR2-FSLB1-SX14;Cafeteria;6;0.918;0.903;0.771;0.772;1.141;1.679
187;DR2-FSLB1-SX194;Restaurant;6;0.839;0.809;0.654;0.664;1.08;1.334
188;DR2-FSLB1-SX284;Copy machine;4;0.783;0.846;0.592;0.66;1.104;1.217
189;DR2-FSLB1-SX374;Bus;6;0.995;0.979;0.967;0.959;1.335;3.093
190;DR2-MABW0-SA1;Subway station;-8;0.625;0.656;0.34;0.442;1.022;1.148
191;DR2-MABW0-SA2;River;2;0.704;0.746;0.489;0.534;1.098;1.467
192;DR2-MABW0-SI1230;Bus;2;0.983;0.978;0.918;0.919;1.627;3.154
193;DR2-MABW0-SI1664;Town square;4;0.914;0.912;0.82;0.845;1.074;2.349
194;DR2-MABW0-SI2294;City park;0;0.828;0.855;0.546;0.627;1.053;1.436
195;DR2-MABW0-SX134;Living room;6;0.842;0.884;0.671;0.728;1.165;1.782
196;DR2-MABW0-SX224;Hallway;-8;0.77;0.841;0.568;0.619;1.031;1.485
197;DR2-MABW0-SX314;Cafeteria;2;0.794;0.846;0.564;0.659;1.099;1.418
198;DR2-MABW0-SX404;Bus;-4;0.972;0.972;0.866;0.857;1.182;2.769
199;DR2-MABW0-SX44;Sports Field;4;0.971;0.976;0.921;0.927;1.161;3.066
200;DR2-MBJK0-SA1;Cafeteria;-4;0.576;0.665;0.292;0.422;1.041;1.196
201;DR2-MBJK0-SA2;Town square;-2;0.809;0.877;0.586;0.708;1.043;2.022
202;DR2-MBJK0-SI1175;Copy machine;-8;0.423;0.524;0.102;0.187;1.04;1.08
203;DR2-MBJK0-SI2128;Meeting room;6;0.856;0.895;0.614;0.686;1.225;2.104
204;DR2-MBJK0-SI545;Bus;-2;0.946;0.934;0.818;0.844;1.353;2.571
205;DR2-MBJK0-SX185;Bus;-6;0.942;0.954;0.804;0.868;1.158;3.089
