Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
111;DR2-FCMR0-SA2;Subway station;-6;0.594;0.599;0.346;0.402;1.023;1.096
112;DR2-FCMR0-SI1105;Copy machine;-4;0.483;0.551;0.216;0.286;1.027;1.074
113;DR2-FCMR0-SI1735;City park;0;0.701;0.704;0.367;0.36;1.035;1.176
114;DR2-FCMR0-SI475;River;-8;0.767;0.797;0.485;0.535;1.043;1.378
115;DR2-FCMR0-SX115;Speech-shaped noise;-6;0.546;0.656;0.192;0.362;1.034;1.112
116;DR2-FCMR0-SX205;Cafeteria;-6;0.525;0.538;0.29;0.338;1.03;1.067
117;DR2-FCMR0-SX25;Subway station;4;0.817;0.849;0.64;0.721;1.066;1.677
118;DR2-FCMR0-SX295;River;4;0.947;0.932;0.827;0.836;1.151;1.971
119;DR2-FCMR0-SX385;Bus;-2;0.971;0.968;0.879;0.91;1.143;2.61
120;DR2-FDRD1-SA1;Bus;-8;0.78;0.849;0.573;0.701;1.021;1.573
121;DR2-FDRD1-SA2;Subway station;-2;0.723;0.795;0.484;0.554;1.02;1.272
122;DR2-FDRD1-SI1544;Bus;2;0.936;0.956;0.808;0.879;1.072;2.109
123;DR2-FDRD1-SI1566;Bus;2;0.972;0.983;0.869;0.948;1.063;3.214
124;DR2-FDRD1-SI2149;Cafeteria;2;0.771;0.808;0.473;0.559;1.037;1.325
125;DR2-FDRD1-SX104;Speech-shaped noise;-8;0.538;0.592;0.179;0.213;1.025;1.061
126;DR2-FDRD1-SX14;Traffic;-2;0.805;0.871;0.568;0.669;1.026;1.684
127;DR2-FDRD1-SX194;Cafeteria;4;0.857;0.892;0.709;0.785;1.097;1.994
128;DR2-FDRD1-SX284;Hallway;-4;0.791;0.852;0.53;0.659;1.033;1.729
129;DR2-FDRD1-SX374;Meeting room;0;0.739;0.785;0.472;0.592;1.042;1.422
130;DR2-FJAS0-SA1;Meeting room;4;0.824;0.845;0.692;0.727;1.071;1.257
131;DR2-FJAS0-SA2;Living room;2;0.934;0.922;0.856;0.861;1.052;1.801
132;DR2-FJAS0-SI1400;Hallway;-4;0.823;0.858;0.606;0.664;1.028;1.463
133;DR2-FJAS0-SI2030;Subway station;-4;0.693;0.718;0.383;0.495;1.02;1.204
134;DR2-FJAS0-SI770;Speech-shaped noise;-6;0.545;0.664;0.214;0.422;1.037;1.109
135;DR2-FJAS0-SX140;Subway station;-2;0.742;0.791;0.42;0.563;1.027;1.194
136;DR2-FJAS0-SX230;River;-2;0.65;0.683;0.442;0.522;1.028;1.168
137;DR2-FJAS0-SX320;Restaurant;-4;0.553;0.567;0.251;0.31;1.034;1.059
138;DR2-FJAS0-SX410;Metro;-4;0.748;0.781;0.452;0.552;1.031;1.16
139;DR2-FJAS0-SX50;Meeting room;2;0.814;0.834;0.414;0.503;1.046;1.287
140;DR2-FJRE0-SA1;Copy machine;-8;0.339;0.422;0.167;0.212;1.129;1.032
141;DR2-FJRE0-SA2;Living room;-6;0.694;0.784;0.36;0.494;1.022;1.177
142;DR2-FJRE0-SI1116;River;-4;0.624;0.65;0.301;0.414;1.023;1.18
143;DR2-FJRE0-SI1587;Speech-shaped noise;6;0.789;0.835;0.459;0.607;1.098;1.522
144;DR2-FJRE0-SI1746;Traffic;4;0.854;0.903;0.568;0.732;1.025;1.784
145;DR2-FJRE0-SX126;Bus;6;0.93;0.963;0.87;0.93;1.053;2.976
146;DR2-FJRE0-SX216;Hallway;4;0.961;0.957;0.887;0.91;1.65;3.035
147;DR2-FJRE0-SX306;Meeting room;0;0.703;0.729;0.414;0.444;1.036;1.146
148;DR2-FJRE0-SX36;Meeting room;-8;0.635;0.635;0.28;0.318;1.019;1.06
149;DR2-FJRE0-SX396;Bus;6;0.987;0.987;0.906;0.953;1.41;3.126
150;DR2-FJWB0-SA1;Copy machine;-6;0.534;0.575;0.247;0.297;1.024;1.051
151;DR2-FJWB0-SA2;Speech-shaped noise;-6;0.567;0.699;0.287;0.394;1.042;1.137
152;DR2-FJWB0-SI1265;Cafeteria;2;0.746;0.81;0.4;0.532;1.055;1.341
153;DR2-FJWB0-SI635;Speech-shaped noise;6;0.846;0.856;0.637;0.686;1.211;1.49
154;DR2-FJWB0-SI992;Metro;4;0.928;0.934;0.773;0.824;1.178;2.161
155;DR2-FJWB0-SX185;Town square;-2;0.914;0.914;0.815;0.84;1.037;1.796
156;DR2-FJWB0-SX275;River;-8;0.521;0.553;0.144;0.252;1.023;1.052
157;DR2-FJWB0-SX365;Bus;-2;0.972;0.955;0.877;0.883;1.05;2.244
158;DR2-FJWB0-SX5;Subway station;-8;0.654;0.72;0.34;0.41;1.027;1.12
159;DR2-FJWB0-SX95;Living room;-8;0.646;0.716;0.324;0.411;1.021;1.115
160;DR2-FPAS0-SA1;Restaurant;6;0.689;0.738;0.527;0.635;1.131;1.425
161;DR2-FPAS0-SA2;City park;0;0.769;0.821;0.588;0.702;1.031;1.362
162;DR2-FPAS0-SI1272;City park;0;0.771;0.821;0.507;0.609;1.057;1.347
163;DR2-FPAS0-SI2204;Restaurant;6;0.763;0.801;0.55;0.652;1.092;1.388
164;DR2-FPAS0-SI944;Copy machine;4;0.832;0.86;0.586;0.681;1.035;1.394
165;DR2-FPAS0-SX134;City park;0;0.748;0.825;0.525;0.658;1.024;1.377
166;DR2-FPAS0-SX224;Metro;2;0.834;0.879;0.659;0.749;1.047;1.622
167;DR2-FPAS0-SX314;Hallway;0;0.912;0.937;0.774;0.862;1.132;2.169
168;DR2-FPAS0-SX404;Metro;2;0.838;0.895;0.623;0.736;1.059;1.793
169;DR2-FPAS0-SX44;Metro;-4;0.686;0.71;0.41;0.521;1.036;1.203
170;DR2-FRAM1-SA1;Hallway;-6;0.872;0.919;0.736;0.848;1.074;2.188
171;DR2-FRAM1-SA2;Living room;-2;0.74;0.751;0.594;0.583;1.02;1.402
172;DR2-FRAM1-SI1360;Hallway;-2;0.885;0.916;0.67;0.783;1.042;2.043
173;DR2-FRAM1-SI522;Copy machine;2;0.614;0.66;0.384;0.432;1.028;1.14
174;DR2-FRAM1-SI730;Copy machine;-4;0.459;0.522;0.29;0.358;1.029;1.076
175;DR2-FRAM1-SX100;Restaurant;-2;0.507;0.572;0.31;0.411;1.028;1.123
176;DR2-FRAM1-SX10;Meeting room;2;0.761;0.745;0.615;0.583;1.021;1.251
177;DR2-FRAM1-SX190;Speech-shaped noise;-8;0.472;0.51;0.201;0.294;4.212;1.06
178;DR2-FRAM1-SX280;Meeting room;6;0.701;0.766;0.533;0.661;1.051;1.472
179;DR2-FRAM1-SX370;Town square;2;0.832;0.905;0.685;0.771;1.037;1.997
180;DR2-FSLB1-SA1;Living room;6;0.918;0.931;0.826;0.863;1.092;1.784
181;DR2-FSLB1-SA2;City park;0;0.809;0.867;0.655;0.76;1.027;1.566
182;DR2-FSLB1-SI1904;Metro;6;0.945;0.924;0.846;0.864;1.173;2.016
183;DR2-FSLB1-SI644;Cafeteria;-6;0.511;0.513;0.258;0.237;1.026;1.072
184;DR2-FSLB1-SI891;Subway station;2;0.866;0.896;0.658;0.718;1.039;1.463
185;DR2-FSLB1-SX104;Sports Field;0;0.935;0.962;0.792;0.884;1.043;2.137
186;DR2-FSLB1-SX14;Cafeteria;6;0.918;0.909;0.771;0.775;1.141;1.594
187;DR2-FSLB1-SX194;Restaurant;6;0.839;0.841;0.654;0.698;1.08;1.36
188;DR2-FSLB1-SX284;Copy machine;4;0.783;0.842;0.592;0.678;1.104;1.203
189;DR2-FSLB1-SX374;Bus;6;0.995;0.981;0.967;0.961;1.335;3.003
190;DR2-MABW0-SA1;Subway station;-8;0.625;0.651;0.34;0.443;1.022;1.177
191;DR2-MABW0-SA2;River;2;0.704;0.752;0.489;0.535;1.098;1.509
192;DR2-MABW0-SI1230;Bus;2;0.983;0.98;0.918;0.93;1.627;3.07
193;DR2-MABW0-SI1664;Town square;4;0.914;0.923;0.82;0.852;1.074;2.367
194;DR2-MABW0-SI2294;City park;0;0.828;0.848;0.546;0.605;1.053;1.489
195;DR2-MABW0-SX134;Living room;6;0.842;0.886;0.671;0.712;1.165;1.776
196;DR2-MABW0-SX224;Hallway;-8;0.77;0.809;0.568;0.545;1.031;1.517
197;DR2-MABW0-SX314;Cafeteria;2;0.794;0.848;0.564;0.67;1.099;1.406
198;DR2-MABW0-SX404;Bus;-4;0.972;0.973;0.866;0.868;1.182;2.704
199;DR2-MABW0-SX44;Sports Field;4;0.971;0.975;0.921;0.926;1.161;2.911
200;DR2-MBJK0-SA1;Cafeteria;-4;0.576;0.672;0.292;0.424;1.041;1.203
201;DR2-MBJK0-SA2;Town square;-2;0.809;0.881;0.586;0.711;1.043;1.993
202;DR2-MBJK0-SI1175;Copy machine;-8;0.423;0.508;0.102;0.16;1.04;1.076
203;DR2-MBJK0-SI2128;Meeting room;6;0.856;0.891;0.614;0.672;1.225;2.073
204;DR2-MBJK0-SI545;Bus;-2;0.946;0.946;0.818;0.858;1.353;2.638
205;DR2-MBJK0-SX185;Bus;-6;0.942;0.956;0.804;0.869;1.158;2.941
206;DR2-MBJK0-SX275;Bus;-8;0.942;0.968;0.697;0.839;1.132;2.39
207;DR2-MBJK0-SX365;Living room;-4;0.746;0.856;0.387;0.516;1.043;1.407
208;DR2-MBJK0-SX5;Hallway;-8;0.714;0.812;0.545;0.612;1.051;1.444
209;DR2-MBJK0-SX95;Metro;0;0.9;0.927;0.677;0.752;1.129;2.139
210;DR2-MCCS0-SA1;Speech-shaped noise;0;0.626;0.743;0.4;0.571;1.076;1.511
211;DR2-MCCS0-SA2;Restaurant;2;0.669;0.792;0.395;0.5;1.179;1.524
212;DR2-MCCS0-SI1469;Copy machine;4;0.695;0.81;0.458;0.605;1.181;1.464
213;DR2-MCCS0-SI2099;Speech-shaped noise;-4;0.565;0.709;0.318;0.48;1.088;1.372
214;DR2-MCCS0-SI839;Metro;4;0.809;0.873;0.617;0.706;1.18;2.248
215;DR2-MCCS0-SX119;Town square;-4;0.637;0.749;0.359;0.528;1.05;1.325
216;DR2-MCCS0-SX209;Town square;-4;0.765;0.863;0.51;0.599;1.055;1.874
217;DR2-MCCS0-SX299;River;0;0.658;0.749;0.452;0.509;1.099;1.723
218;DR2-MCCS0-SX29;Sports Field;-2;0.79;0.897;0.416;0.592;1.049;1.935
219;DR2-MCCS0-SX389;Speech-shaped noise;6;0.77;0.857;0.569;0.695;1.372;2.141
220;DR2-MCEM0-SA1;Sports Field;6;0.931;0.95;0.807;0.885;1.295;3.073
221;DR2-MCEM0-SA2;City park;6;0.871;0.897;0.72;0.798;1.265;2.005
222;DR2-MCEM0-SI1398;Subway station;-6;0.638;0.744;0.253;0.333;1.03;1.332
223;DR2-MCEM0-SI2028;Living room;4;0.869;0.904;0.552;0.697;1.19;2.011
224;DR2-MCEM0-SI768;Subway station;-4;0.701;0.813;0.335;0.483;1.06;1.558
225;DR2-MCEM0-SX138;Metro;-2;0.8;0.86;0.395;0.573;1.095;1.889
226;DR2-MCEM0-SX228;River;-2;0.647;0.764;0.372;0.47;1.086;1.312
227;DR2-MCEM0-SX318;Subway station;-4;0.708;0.826;0.422;0.523;1.067;1.643
228;DR2-MCEM0-SX408;Hallway;-6;0.794;0.892;0.453;0.613;1.042;2.009
229;DR2-MCEM0-SX48;Subway station;-2;0.672;0.76;0.325;0.383;1.059;1.461
230;DR2-MDBB0-SA1;Bus;-2;0.941;0.959;0.878;0.924;1.216;2.972
231;DR2-MDBB0-SA2;Traffic;0;0.759;0.806;0.576;0.637;1.021;1.607
232;DR2-MDBB0-SI1195;Hallway;6;0.947;0.955;0.774;0.842;1.27;2.189
233;DR2-MDBB0-SI1825;Copy machine;-2;0.543;0.66;0.266;0.343;1.034;1.078
234;DR2-MDBB0-SI565;Cafeteria;0;0.652;0.664;0.434;0.474;1.048;1.156
235;DR2-MDBB0-SX115;Cafeteria;2;0.741;0.78;0.435;0.503;1.048;1.239
236;DR2-MDBB0-SX205;Sports Field;2;0.97;0.979;0.879;0.931;1.092;2.883
237;DR2-MDBB0-SX25;City park;-2;0.621;0.73;0.48;0.543;1.019;1.159
238;DR2-MDBB0-SX295;Restaurant;0;0.571;0.615;0.28;0.29;1.035;1.085
239;DR2-MDBB0-SX385;Town square;6;0.917;0.931;0.757;0.798;1.139;2.009
240;DR2-MDLD0-SA1;Hallway;2;0.818;0.867;0.66;0.748;1.046;1.698
241;DR2-MDLD0-SA2;Bus;-8;0.779;0.794;0.574;0.628;1.027;1.442
242;DR2-MDLD0-SI1543;Metro;-6;0.63;0.686;0.333;0.404;1.033;1.158
243;DR2-MDLD0-SI2173;Speech-shaped noise;-4;0.562;0.662;0.238;0.422;1.049;1.205
244;DR2-MDLD0-SI913;Town square;-6;0.808;0.856;0.486;0.588;1.027;1.477
245;DR2-MDLD0-SX103;Sports Field;2;0.919;0.939;0.765;0.828;1.085;2.641
246;DR2-MDLD0-SX13;Sports Field;-4;0.797;0.845;0.62;0.654;1.022;1.401
247;DR2-MDLD0-SX193;Living room;0;0.702;0.768;0.531;0.626;1.03;1.598
248;DR2-MDLD0-SX283;Subway station;-2;0.716;0.823;0.394;0.581;1.035;1.419
249;DR2-MDLD0-SX373;Sports Field;4;0.935;0.953;0.815;0.877;1.106;2.518
250;DR2-MGWT0-SA1;Copy machine;0;0.663;0.739;0.424;0.527;1.039;1.202
251;DR2-MGWT0-SA2;Sports Field;0;0.857;0.901;0.697;0.804;1.044;2.107
252;DR2-MGWT0-SI1539;Hallway;2;0.918;0.917;0.77;0.815;1.265;1.931
253;DR2-MGWT0-SI2169;Restaurant;2;0.75;0.809;0.442;0.549;1.083;1.29
254;DR2-MGWT0-SI909;Sports Field;2;0.934;0.95;0.858;0.892;1.069;2.707
255;DR2-MGWT0-SX189;River;4;0.772;0.834;0.507;0.583;1.129;1.488
256;DR2-MGWT0-SX279;Metro;6;0.982;0.98;0.866;0.9;1.554;2.376
257;DR2-MGWT0-SX369;Sports Field;4;0.937;0.948;0.719;0.815;1.136;2.763
258;DR2-MGWT0-SX99;Subway station;6;0.899;0.925;0.688;0.81;1.109;2.088
259;DR2-MGWT0-SX9;Town square;-6;0.664;0.763;0.526;0.617;1.021;1.387
260;DR2-MJAR0-SA1;Subway station;-8;0.573;0.684;0.33;0.471;1.019;1.098
261;DR2-MJAR0-SA2;Sports Field;4;0.938;0.95;0.819;0.891;1.034;2.315
262;DR2-MJAR0-SI1988;Sports Field;4;0.967;0.968;0.891;0.916;1.068;2.863
263;DR2-MJAR0-SI2247;Cafeteria;-6;0.472;0.58;0.278;0.393;1.033;1.079
264;DR2-MJAR0-SI728;Bus;2;0.988;0.983;0.939;0.944;1.3;3.168
265;DR2-MJAR0-SX188;Subway station;-8;0.527;0.581;0.216;0.274;1.019;1.1
266;DR2-MJAR0-SX278;River;-8;0.878;0.917;0.713;0.811;1.038;1.539
267;DR2-MJAR0-SX368;City park;4;0.862;0.894;0.662;0.75;1.043;1.581
268;DR2-MJAR0-SX8;Hallway;6;0.951;0.954;0.901;0.922;1.244;2.89
269;DR2-MJAR0-SX98;Bus;-8;0.847;0.891;0.595;0.694;1.03;1.588
270;DR2-MMDB1-SA1;Town square;-6;0.537;0.643;0.303;0.415;1.177;1.129
271;DR2-MMDB1-SA2;Metro;6;0.969;0.957;0.892;0.89;1.569;2.611
272;DR2-MMDB1-SI1625;Sports Field;4;0.97;0.972;0.836;0.873;1.085;2.199
273;DR2-MMDB1-SI2255;Subway station;4;0.833;0.883;0.57;0.695;1.072;1.716
274;DR2-MMDB1-SI995;Copy machine;6;0.767;0.826;0.517;0.6;1.168;1.384
275;DR2-MMDB1-SX185;Subway station;-2;0.641;0.728;0.428;0.496;1.04;1.364
276;DR2-MMDB1-SX275;Speech-shaped noise;2;0.78;0.862;0.468;0.606;1.17;1.584
277;DR2-MMDB1-SX365;Metro;-6;0.77;0.847;0.416;0.541;1.032;1.388
278;DR2-MMDB1-SX5;Bus;-8;0.759;0.84;0.565;0.67;1.03;1.369
279;DR2-MMDB1-SX95;Restaurant;2;0.733;0.772;0.416;0.49;1.088;1.221
280;DR2-MMDM2-SA1;Bus;6;0.982;0.979;0.948;0.954;2.352;3.404
281;DR2-MMDM2-SA2;Town square;-6;0.85;0.892;0.642;0.731;1.046;2.065
282;DR2-MMDM2-SI1452;Town square;2;0.899;0.935;0.639;0.764;1.128;2.093
283;DR2-MMDM2-SI1555;Metro;-2;0.712;0.84;0.405;0.558;1.158;1.405
284;DR2-MMDM2-SI2082;City park;-6;0.71;0.799;0.346;0.361;1.046;1.234
285;DR2-MMDM2-SX102;City park;2;0.809;0.874;0.464;0.624;1.112;1.64
286;DR2-MMDM2-SX12;Copy machine;-8;0.479;0.611;0.387;0.432;1.25;1.177
287;DR2-MMDM2-SX192;Subway station;4;0.801;0.847;0.523;0.684;1.146;2.197
288;DR2-MMDM2-SX282;Traffic;-4;0.859;0.916;0.524;0.685;1.041;1.778
289;DR2-MMDM2-SX372;Sports Field;-8;0.785;0.882;0.453;0.643;1.04;1.607
290;DR2-MPDF0-SA1;Metro;4;0.88;0.908;0.679;0.788;1.083;2.176
291;DR2-MPDF0-SA2;Restaurant;-6;0.471;0.556;0.206;0.242;1.05;1.09
292;DR2-MPDF0-SI1542;Sports Field;2;0.948;0.96;0.834;0.899;1.089;2.521
293;DR2-MPDF0-SI2172;Restaurant;2;0.815;0.873;0.412;0.567;1.092;1.329
294;DR2-MPDF0-SI912;City park;-8;0.481;0.648;0.275;0.327;1.025;1.114
295;DR2-MPDF0-SX102;Meeting room;0;0.835;0.905;0.514;0.704;1.058;1.424
296;DR2-MPDF0-SX12;Metro;-4;0.607;0.786;0.329;0.458;1.028;1.292
297;DR2-MPDF0-SX192;Copy machine;6;0.801;0.856;0.578;0.704;1.153;1.529
298;DR2-MPDF0-SX282;Town square;2;0.871;0.928;0.658;0.755;1.067;2.025
299;DR2-MPDF0-SX372;River;2;0.917;0.939;0.705;0.819;1.186;2.026
300;DR2-MPGL0-SA1;Living room;4;0.89;0.902;0.775;0.817;1.277;2.588
