Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
1216;DR5-MRWS1-SX230;City park;4;0.686;0.858;0.547;0.696;1.133;2.398
1217;DR5-MRWS1-SX320;Living room;-2;0.786;0.887;0.549;0.72;1.096;2.071
1218;DR5-MRWS1-SX410;Subway station;2;0.721;0.824;0.441;0.603;1.083;1.817
1219;DR5-MRWS1-SX50;City park;-8;0.585;0.684;0.22;0.318;1.022;1.329
1220;DR5-MSFH1-SA1;City park;-2;0.833;0.903;0.663;0.792;1.048;1.759
1221;DR5-MSFH1-SA2;City park;-2;0.792;0.878;0.589;0.708;1.044;1.65
1222;DR5-MSFH1-SI1270;City park;-8;0.748;0.858;0.443;0.525;1.029;1.314
1223;DR5-MSFH1-SI1900;River;4;0.958;0.974;0.857;0.91;1.279;2.447
1224;DR5-MSFH1-SI640;Sports Field;4;0.978;0.978;0.916;0.928;1.196;2.356
1225;DR5-MSFH1-SX100;City park;4;0.744;0.827;0.559;0.663;1.128;1.899
1226;DR5-MSFH1-SX10;Traffic;-4;0.677;0.715;0.47;0.605;1.028;1.646
1227;DR5-MSFH1-SX190;Sports Field;-4;0.895;0.933;0.702;0.804;1.046;1.896
1228;DR5-MSFH1-SX280;Meeting room;-6;0.484;0.505;0.3;0.232;1.049;1.076
1229;DR5-MSFH1-SX370;Cafeteria;4;0.771;0.854;0.521;0.635;1.14;1.555
1230;DR6-FDRW0-SA1;Restaurant;6;0.774;0.835;0.525;0.66;1.121;1.359
1231;DR6-FDRW0-SA2;Speech-shaped noise;2;0.697;0.841;0.414;0.659;1.053;1.66
1232;DR6-FDRW0-SI1283;Bus;2;0.908;0.951;0.754;0.88;1.073;2.337
1233;DR6-FDRW0-SI1423;Sports Field;4;0.945;0.977;0.804;0.924;1.061;2.783
1234;DR6-FDRW0-SI653;Copy machine;4;0.653;0.744;0.506;0.598;1.057;1.422
1235;DR6-FDRW0-SX113;Living room;4;0.765;0.85;0.435;0.628;1.038;1.665
1236;DR6-FDRW0-SX203;Sports Field;2;0.889;0.968;0.685;0.897;1.026;2.699
1237;DR6-FDRW0-SX23;Town square;2;0.788;0.877;0.63;0.785;1.03;1.845
1238;DR6-FDRW0-SX293;Restaurant;-2;0.566;0.635;0.248;0.35;1.029;1.129
1239;DR6-FDRW0-SX383;Metro;-6;0.712;0.821;0.478;0.665;2.484;1.442
1240;DR6-FLNH0-SA1;River;0;0.682;0.772;0.463;0.615;1.047;1.473
1241;DR6-FLNH0-SA2;Bus;-8;0.84;0.917;0.673;0.851;1.025;2.256
1242;DR6-FLNH0-SI1214;Hallway;0;0.902;0.924;0.744;0.832;1.074;1.929
1243;DR6-FLNH0-SI584;Living room;6;0.933;0.937;0.748;0.829;1.13;1.756
1244;DR6-FLNH0-SI941;River;-4;0.567;0.674;0.267;0.443;1.03;1.248
1245;DR6-FLNH0-SX134;Copy machine;6;0.782;0.836;0.571;0.678;1.147;1.396
1246;DR6-FLNH0-SX224;Bus;-2;0.978;0.962;0.91;0.909;1.294;2.244
1247;DR6-FLNH0-SX314;Traffic;-6;0.84;0.888;0.667;0.789;1.021;1.716
1248;DR6-FLNH0-SX404;Metro;-4;0.693;0.752;0.373;0.532;1.031;1.356
1249;DR6-FLNH0-SX44;Cafeteria;4;0.875;0.883;0.706;0.779;1.097;1.686
1250;DR6-FMGD0-SA1;Traffic;-4;0.755;0.846;0.553;0.697;1.021;1.887
1251;DR6-FMGD0-SA2;Copy machine;-8;0.358;0.319;0.157;0.151;1.079;1.057
1252;DR6-FMGD0-SI1564;Sports Field;-4;0.785;0.893;0.513;0.744;1.017;1.98
1253;DR6-FMGD0-SI2194;Restaurant;2;0.65;0.731;0.359;0.492;1.043;1.299
1254;DR6-FMGD0-SI934;Metro;4;0.955;0.966;0.885;0.934;1.192;2.74
1255;DR6-FMGD0-SX124;Sports Field;6;0.983;0.985;0.943;0.964;1.211;3.016
1256;DR6-FMGD0-SX214;Metro;2;0.914;0.953;0.728;0.865;1.15;2.409
1257;DR6-FMGD0-SX304;Cafeteria;-6;0.498;0.579;0.254;0.33;1.02;1.096
1258;DR6-FMGD0-SX34;Living room;-4;0.743;0.811;0.514;0.667;1.03;1.483
1259;DR6-FMGD0-SX394;River;6;0.916;0.909;0.775;0.828;1.114;2.177
1260;DR6-MCMJ0-SA1;City park;-4;0.593;0.74;0.312;0.454;1.025;1.232
1261;DR6-MCMJ0-SA2;Town square;2;0.708;0.874;0.53;0.728;1.063;2.013
1262;DR6-MCMJ0-SI1094;Town square;0;0.863;0.923;0.663;0.795;1.06;1.95
1263;DR6-MCMJ0-SI464;River;0;0.838;0.9;0.581;0.701;1.039;1.332
1264;DR6-MCMJ0-SI602;Copy machine;-6;0.472;0.561;0.191;0.233;1.023;1.135
1265;DR6-MCMJ0-SX104;Metro;-6;0.715;0.8;0.349;0.463;1.027;1.453
1266;DR6-MCMJ0-SX14;Subway station;2;0.783;0.868;0.5;0.623;1.072;1.698
1267;DR6-MCMJ0-SX194;City park;6;0.936;0.962;0.856;0.917;1.459;3.027
1268;DR6-MCMJ0-SX284;City park;0;0.825;0.884;0.602;0.722;1.055;2.255
